BACKGROUND,background.jpg
PLAYER,player_01.png
BLOCK,block.png
FLOOR_01,floor_01.png
ORIGIN,origin.png
BLOCK2,block2.png
SAMPLE1,sample1.png
ENEMY_01,mon_01.png
ENEMY_02,mon_02.png
ENEMY_03,mon_03.png
THORN_UP,thorn_03_up.png
THORN_RIGHT,thorn_03_right.png
THORN_LEFT,thorn_03_left.png
THORN_DOWN,thorn_03_down.png
GOAL_01,goal_01.png
MAGMA_01,magma_01.jpg
AIRCANNON_01,aircannon_01.png
BULLET_01,bullet_01.png
ITEM_01,item_01.png
SWITCH_01,switch_01.png
GAGE_01,gage_01.png
HELLGATE_01,hellgate_01.png
